question,contexts,ground_truth,evolution_type
无明如何影响今世的果报？,[��升起，而造成另一个因缘也生起，故佛经中常说：‘此有故彼有，此灭故彼灭。’这句话的意思是：有这样的东西生起，所以另外一样东西也跟著生起；有这样的东西消灭，另外一样东西也跟著消灭。\n\n一、十二因缘三世二重因果：\n\n第一重因果：过去因到现在果。\n\n过去因：无明是过去迷惑。\n\n行是过去造业。\n\n（1）、无明：我们迷惑无知，对善恶因果不明白，于佛、法、僧三宝不明白，也不知不觉，这就称为‘无明’。在十二因缘中的‘无明’是过去世烦恼的总称。\n\n（2）、行：因为无明使我们迷惑，发动心驱使身，口，意造业，此称为‘行’。此造作产生将来的果报，既是我们今世所受的善恶诸业的果报，所以‘行’就是业报，使我们投胎轮回生死。现在果：识、名色、六入、触、受是现在苦果。\n\n（3）、识：众生前生死时，名色（精神与物质）的活动散灭，而转成另一系列的精神活动。好像前世是人，死后转生为乌龟，那做人的精神活动就灭，转变成为乌龟的精神活动。因惑业导致，此‘识’重新入胎。此‘识’与前六识（眼、耳、鼻、舌、身、意）不同，在此处特别指入胎的‘识’。在南传佛教只说为‘识’，但大成佛教的唯识宗说是第八识－－阿赖耶识。我们死后，生前的名色散掉],无明使我们迷惑，发动心驱使身、口、意造业，此造作产生将来的果报，即是我们今世所受的善恶诸业的果报，所以‘行’就是业报，使我们投胎轮回生死。,reasoning
 二禅的特点是什么，以及它与初禅有何不同？,[在坐禅时，进入初禅的时候，身体会有很舒服的感觉，那就是乐。所以进入初禅也称为‘离生喜乐’，意思即是因为出离（欲界）的心生起喜欢与快乐的感觉。\n\n一心：心在定境中保持不动。一心也翻译成‘心一境性’。\n\n（2）、二禅：\n\n当一个人进入初禅后，继续修下去，就会发现觉、观的心念很粗，所谓‘觉’就是对境物的感受；‘观’就是起种种的思想。比如说你感觉到身体上有发生变化，你生起思想，知道它在坐什么，这就是觉、观。这种觉、观就是我们的心念在想东西；这样的想念很粗，他又想把这个粗的心念舍弃，因为它也是一种烦恼。当他把觉、观的心念（寻、伺）舍起后，就会慢慢进入无觉无观（又称为无寻无伺）。这时，他的心静如水，处在清明的状态，内心一片平静，很清净，这叫内静，与初禅的觉身宁静有所不同。\n\n由于二禅是无觉无观，他的内心再也不去思维和判断所接触的境界，不起语言的分别，因此这种定也叫‘圣默然定’。一个人进入二禅之后无眼、耳、身识，唯有意识。二禅有四支，即内静、喜、乐、一心。\n\n内静：内心平静，感觉到内心很清净，再也没有语言的构思了。\n\n喜：离开了觉、观，离开了语言，内心欢喜。],二禅的特点包括无觉无观、内心平静、清净、无眼、耳、身识，唯有意识，以及具有内静、喜、乐、一心四支。与初禅的不同在于，初禅有觉身宁静，而二禅是无觉无观的，内心更加平静和清净，且不再有语言的构思。,simple
为什么说涅槃并不是一种境界？,[解所执著的渣滓皆丢光。如果追求解脱者想‘得到’解脱，那就是错了，因为解脱是‘什么都得不到’，心中无所得才叫做解脱，只要你得到一物，就没办法解脱，因为解脱只是把一切的烦恼放下罢了。证悟涅槃者真正见到不生不灭的诸法真相（涅槃）。我们凡夫在这世间所见到、所知道的一切都在无常的生灭（诸行无常），对不生不灭的诸法真相不知不觉；修行者解脱生死证悟涅槃时，他见到万法原来是不生不灭的，此是诸法的真相。佛经中常说：‘证悟涅槃的圣者看到一切都是不生不灭。’\n\n涅槃到底是怎么一回事？我们经常会误解涅槃是一种境界，很多人以为我现在在生死烦恼的此岸，某某人证悟涅槃就是进入涅槃的境界，事实上涅槃并不是进入一种境界。为什么这么将呢？我们来看因果，有因必有果，如果那个因是无常的，期所形成的果必然也是无常。如果涅槃是一种境界，能进入那种境界，必然能够出，有进、有出，就是有生灭，那么它必然是无常的。所以涅槃并不是一种境界可进、可出；涅槃也不是可以得到一物，更没有证悟到涅槃的人，《金刚经》上说了：‘菩萨应灭度一切众生，灭度一切众生已，实无众生得灭度者。’其义是：实际上并没有众生进入涅槃，没有证悟涅槃的人。因为诸法的],涅槃并不是一种境界，因为如果涅槃是一种境界，能进入那种境界，必然能够出，有进、有出，就是有生灭，那么它必然是无常的。所以涅槃并不是一种境界可进、可出；涅槃也不是可以得到一物，更没有证悟到涅槃的人。,simple
" ""在观察法念处时，如何通过观察受的生起与灭掉来消除贪嗔痴？","[用心观察，慢慢的就能掌握消除五盖的方法，它就会消除掉，那我们就不会再怀疑佛法，对它深信不疑了。\n\n观察五盖后，接下来是观察五蕴。我们身心的一切活动都包含在五蕴当中。法念处不止指法尘，它还包括一切法。五蕴包含一切有为的生灭法，世间的一切法没有一样不在生灭，所以观察法尘时是要观察它的生灭，从中发现一些事实。\n\n在观法念处时，除了观察五蕴外，还要观察另一些法，那就是六根与六尘。六根与六尘接触后会产生什么后果？我们都要了了分明。比如在静坐时，心念集中在耳朵，我们就去听声音，要觉知这个过程。过一会儿，我们的心念又去观察景物，对于这些心念转移的过程，我们要知道，更要了了分明。我们要注意六根与六尘为我们产生了一种结缚，既是我们的烦恼从六根与六尘中源源不断的生起；十二因缘中说明，如果一个人没有六根，他就没有‘受’，所以我们的‘受’时从六根而来。观察这个受后，接著观察心，再观察受的来源是从六根与六尘接触而来，我们要了了分明这个受的生起。一旦你看到它的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。为什么这么讲呢？打个比喻：以声音来说，有人骂你一句‘他妈的’粗话，你闹起烦恼，骂人、打, �用心观察，慢慢的就能掌握消除五盖的方法，它就会消除掉，那我们就不会再怀疑佛法，对它深信不疑了。\n\n观察五盖后，接下来是观察五蕴。我们身心的一切活动都包含在五蕴当中。法念处不止指法尘，它还包括一切法。五蕴包含一切有为的生灭法，世间的一切法没有一样不在生灭，所以观察法尘时是要观察它的生灭，从中发现一些事实。\n\n在观法念处时，除了观察五蕴外，还要观察另一些法，那就是六根与六尘。六根与六尘接触后会产生什么后果？我们都要了了分明。比如在静坐时，心念集中在耳朵，我们就去听声音，要觉知这个过程。过一会儿，我们的心念又去观察景物，对于这些心念转移的过程，我们要知道，更要了了分明。我们要注意六根与六尘为我们产生了一种结缚，既是我们的烦恼从六根与六尘中源源不断的生起；十二因缘中说明，如果一个人没有六根，他就没有‘受’，所以我们的‘受’时从六根而来。观察这个受后，接著观察心，再观察受的来源是从六根与六尘接触而来，我们要了了分明这个受的生起。一旦你看到它的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。为什么这么讲呢？打个比喻：以声音来说，有人骂你一句‘他妈的’粗话，你闹起烦恼，骂人、打]",在观察法念处时，通过观察受的生起与灭掉，可以消除贪嗔痴。一旦你看到受的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。例如，当有人骂你一句粗话，你可能会闹起烦恼，但通过观察这个受的生起与灭掉，你可以理解这个过程并消除由此产生的贪嗔痴。,simple
“佛教冥想中修习‘观心无常’的目的是什么？”,[香、味、触、法六尘，称为十八界。我们个别观察它，里面没有一个我，这十八界合起来的一个整体，称为一合相，它也不是我，所以观十八界可以对治我慢。\n\n５、数息观：称为阿那波那，译为持息念（数息）。修数息观对治散乱的心，我们的心如猴子般跳来跳去，所以要把它系在呼出吸入的息气上，慢慢的心就会平静下来。这五种修行方法称为五停心，它可使我们的烦恼：贪、嗔、痴、慢以及不定的心平静。\n\n（2）、四念处：又名四念住，所谓身念住、受念住、心念住及法念住。\n\n四念住是观身不净，观受是苦，观心无常，观法无我。以四念处对治我们的常、乐、我、净四颠倒。\n\n１、身念住－－观身不净：观色身四大不净，乃至外境亦不净，以对治身体干净的颠倒想。\n\n２、受念住－－观受是苦：观六根所生受，及受的苦乐舍，三种皆是行苦，因为它无常变化，不能做主就是苦，所以观受是苦对治乐的颠倒。\n\n３、心念住－－观心无常：观六识心生灭最迅速，无有一念停留，我们的心念一念一念在那儿变化，佛陀说吾人之身还有几十年慢慢地发生变化，可是我们的心念一秒钟却不知道变化多少，所以佛陀教导我们要观心无常。众生执著这个世间有一个精神不变的我－�],佛教禅修中实践“观心无常”的目的在于认识到心念始终在变化，不存在恒定不变的状态，从而有助于克服对一个恒久不变自我的错误认知。,simple
" ""为什么皈依后应该亲近善知识？",[缘使得我们认识到自心，那是非常可贵的，所以我们看到佛、法、僧，要生起如获至宝之想。\n\n皈依三宝并不是举行三皈仪式后，盲无目标的礼拜三宝，而我们每天礼佛拜佛，是要在我们的业因缘里面种下一点儿善根；时时怀念三宝的功德，时时提醒自己要修行解脱。我们凡夫整天在烦烦恼恼中，不知道要怎样解脱。如果我们每天都有皈向三宝的心，就会鞭策自己，努力修行，断除烦恼朝向解脱。\n\n我们皈依后，内心要至诚的皈向佛法僧，把自己的身心融化在无边无际的佛法大海中，努力修学，精进不懈。\n\n皈依者的行持：\n\n１、亲近善知识：我们皈依之后，应该亲近善知识。\n\n２、听闻正法：我们亲近善知识，听闻正法，生起正见。\n\n３、依教奉行：我们不止要听闻正法，而且要信受奉行，以僧为榜样，在生活中实践佛陀的教法。如果我们每天这样的皈向，满满地就有机会解脱。我们皈依三宝，应该天天做如是的观想：佛陀是那么的伟大、慈悲，是人间最伟大的导师，我们应该向他学习；佛法的道理是那么清凉，能使我们放下无数的烦恼，逐渐的走向解脱；僧－－放下世缘，出家修行，守道清白，梵行高远，和合无诤，慈悲一切，是佛法的实践者，修行证果，使],皈依后应该亲近善知识，因为亲近善知识可以帮助我们听闻正法，生起正见，并且依教奉行，以僧为榜样，在生活中实践佛陀的教法。这样我们才能有机会解脱。,simple
佛陀时代，化相三宝的僧宝包括哪些成员，他们的修行目的是什么？,[是和合众的意思。奉行佛陀教法的佛陀出家弟子，这些实践佛法的出家弟子都称为僧，他们是比丘、比丘尼、式叉摩那、沙弥、沙弥尼等。然而这里的皈依僧，真正的是指皈依圣贤僧，就是佛陀在世时，僧团中有很多证果的圣人，他们依据佛法修行，结果解脱证果，我们应该学习他们的榜样。看到圣贤僧，我们应该生起信心，努力修行，断除烦恼，于圣者一样解脱生死，证得涅槃。这些僧代表佛陀教法的实行，我们应该尊重皈向。佛、法、僧和称为三宝。\n\n（四）、三宝的种类：\n\n（1）、化相三宝：１、在两千五百多年以前，在印度有一位释迦牟尼佛－－佛宝，降生人间；２、当时跟随佛陀的有无数出家的凡圣弟子－－僧宝；３、佛陀当时向弟子们演说开示的种种教理，如四圣谛、八正道、十二因缘等等－－法宝。这是佛陀住世应化之际的相状，称为化相三宝。\n\n（2）、住持三宝：１、我们现在所看到用玉琢、石刻、金铸、泥塑、木雕、纸绘等的佛像－－佛宝；２、我们所看到的佛陀弟子一脉相传的出家众弟子－－僧宝；３、凡是佛弟子所结集的三藏经典，或古今大德的佛教著述－－法宝，称为住持三宝。有这些住持三宝，才能延续佛法的慧命，保持佛教的精神，传布佛教的教义。�],佛陀时代，化相三宝的僧宝包括无数出家的凡圣弟子，他们的修行目的是依据佛法修行，结果解脱证果，断除烦恼，于圣者一样解脱生死，证得涅槃。,reasoning
如何通过六根与六尘的接触减少贪嗔痴？,"[�用心观察，慢慢的就能掌握消除五盖的方法，它就会消除掉，那我们就不会再怀疑佛法，对它深信不疑了。\n\n观察五盖后，接下来是观察五蕴。我们身心的一切活动都包含在五蕴当中。法念处不止指法尘，它还包括一切法。五蕴包含一切有为的生灭法，世间的一切法没有一样不在生灭，所以观察法尘时是要观察它的生灭，从中发现一些事实。\n\n在观法念处时，除了观察五蕴外，还要观察另一些法，那就是六根与六尘。六根与六尘接触后会产生什么后果？我们都要了了分明。比如在静坐时，心念集中在耳朵，我们就去听声音，要觉知这个过程。过一会儿，我们的心念又去观察景物，对于这些心念转移的过程，我们要知道，更要了了分明。我们要注意六根与六尘为我们产生了一种结缚，既是我们的烦恼从六根与六尘中源源不断的生起；十二因缘中说明，如果一个人没有六根，他就没有‘受’，所以我们的‘受’时从六根而来。观察这个受后，接著观察心，再观察受的来源是从六根与六尘接触而来，我们要了了分明这个受的生起。一旦你看到它的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。为什么这么讲呢？打个比喻：以声音来说，有人骂你一句‘他妈的’粗话，你闹起烦恼，骂人、打, �用心观察，慢慢的就能掌握消除五盖的方法，它就会消除掉，那我们就不会再怀疑佛法，对它深信不疑了。\n\n观察五盖后，接下来是观察五蕴。我们身心的一切活动都包含在五蕴当中。法念处不止指法尘，它还包括一切法。五蕴包含一切有为的生灭法，世间的一切法没有一样不在生灭，所以观察法尘时是要观察它的生灭，从中发现一些事实。\n\n在观法念处时，除了观察五蕴外，还要观察另一些法，那就是六根与六尘。六根与六尘接触后会产生什么后果？我们都要了了分明。比如在静坐时，心念集中在耳朵，我们就去听声音，要觉知这个过程。过一会儿，我们的心念又去观察景物，对于这些心念转移的过程，我们要知道，更要了了分明。我们要注意六根与六尘为我们产生了一种结缚，既是我们的烦恼从六根与六尘中源源不断的生起；十二因缘中说明，如果一个人没有六根，他就没有‘受’，所以我们的‘受’时从六根而来。观察这个受后，接著观察心，再观察受的来源是从六根与六尘接触而来，我们要了了分明这个受的生起。一旦你看到它的生起、再灭掉，那么我们的贪嗔痴很快就会消灭。为什么这么讲呢？打个比喻：以声音来说，有人骂你一句‘他妈的’粗话，你闹起烦恼，骂人、打]",通过观察六根与六尘的接触，了了分明受的生起和灭掉，可以减少贪嗔痴。例如，当有人骂你时，通过观察这种接触和受的生起，可以看到烦恼的源头并逐渐消灭贪嗔痴。,reasoning
在菩萨道修行中，哪些布施与持戒行为能助修行者超越生死轮回，实现解脱，并为何这些行为被称为波罗蜜？,[闻到正法，了解人生是很苦恼的，同时也使他们懂得解脱的道理，能令他们走上解脱之道，这三种布施能度我们到达生死解脱之彼岸，故称为波罗蜜。\n\n有些人行布施是贪求地位、福报、名誉，这不能度到生死解脱的彼岸，故不能称为波罗蜜。六度波罗蜜是为修学菩萨道的菩萨而讲的。\n\n（二）、持戒：\n\n戒律可分为三种，律仪戒、摄善法戒、饶益有情戒。\n\n（1）、律仪戒：佛陀所制定的各种戒律，称为律仪戒。这些戒律是要防止我们做各种坏事，既是防非止恶的戒法。五戒、十戒、比丘戒、比丘尼戒、菩萨戒等，戒称为律仪戒。受持律仪戒的原因有三：\n\n1、为了防止坠落，确保我们在善道中受生。\n\n2、世间的善人都能奉公守法，遵守法律，何况是一个菩萨行人？所以菩萨行者更应该杜绝各种侵犯众生的恶行。\n\n3、戒律能戒掉我们的烦恼，以它为依止，令我们不做因果上的恶行为，故戒律可以度我们毁犯的恶行为。\n\n（2）、摄善法戒：\n\n菩萨行者发愿行一切善法，如果不这样做，就是他的过失，故应戒除。善法有六度万行，称为菩萨学处。\n\n（3）、饶益有情戒：\n\n发心行菩萨道者，一定要发利益一切众生之心，以一切善法、资财、神通等利益有情。菩萨行者起嗔心后，就不想],在菩萨道修行中，闻到正法、了解人生苦恼、懂得解脱道理的布施，以及持戒中的律仪戒、摄善法戒、饶益有情戒，能助修行者超越生死轮回，实现解脱。这些行为被称为波罗蜜，因为它们能度我们到达生死解脱之彼岸。,multi_context
 在修行过程中，如何通过经行和静坐来达到心念了了分明的状态？,[先修行者要放下一切事物，住在庙宇中，然后跟随一位有资格的导师学习。每天起来，坐禅与经行。所谓经行是保持一心前后来回走。修行四念处者每天少做事，只是坐禅与经行，为什么要这样呢？那时因为静坐久了容易产生昏沉，同时久坐会生病，所以采取坐、走，坐、走的方式。导师会安排静坐半小时，经行半小时或静坐一小时，经行一小时的功课，有些甚至经行两小时，在经行时观察身体的一举一动，念念要分明；要知道何脚先起，然后踏在地上，甚至于踏到地上的情形，也要知道。开始经行时心念粗，就要用心念左右，左右地训练，慢慢地对身体走路行为很清楚，到心念微细时，就不要念，只要保持知道就好了。\n\n接下来他要知道是脚走了他的心知道，或是他的心叫脚走，他也要发现到：是心叫脚提起，脚踏到地，心才感觉到；他要发觉到这两个过程。走到尽头的时候，谁叫他转弯回来；他站著也要知道，他要对这些心念了了分明。这样经行的结果，他的心会慢慢定下来，观察力会越来越敏锐。他静坐时要观察呼吸，肚子的膨胀与收缩，呼吸的出入等。在静坐的过程中，发生任何事情，他都要知道。\n\n每天晚上导师会个别与修行者对话�],在修行过程中，通过经行和静坐来达到心念了了分明的状态，主要是通过观察身体的一举一动和呼吸的出入。在经行时，修行者要观察脚的动作，知道哪只脚先起，然后踏在地上，甚至在踏到地上的情形也要知道。开始时心念粗，需要用心念左右、左右地训练，慢慢地对身体走路行为很清楚，到心念微细时，只需保持知道即可。在静坐时，要观察呼吸，注意肚子的膨胀与收缩，呼吸的出入等。在静坐的过程中，发生任何事情，都要知道。这样经行的结果，心会慢慢定下来，观察力会越来越敏锐。,simple
在戒邪淫的过程中，如何理解“无恶心”的概念？,[切邪淫戒之中，以破净戒人的梵行者，罪过最重。\n\n犯戒均在于心，如无邪淫之心，即不会主动去犯邪淫戒，因此，淫戒也又开缘：若为怨家所逼，而不受乐者，无犯。\n\n（4）、不妄语：\n\n不讲骗话。妄语戒分为大妄语与小妄语。妄语戒具五缘成不可悔。１、所向是人（对人说）。２、作人想。３、有欺骗心。４、说大妄语（说自己是圣人）。５、听者领解。\n\n１、所向是人：对人说妄语。如果我们和一只狗说妄语，它听不懂，那就不能构成犯妄语戒，所以讲妄语的物件主要是人。\n\n２、作人想：认定对方是人。\n\n３、有欺骗心：蓄意要使对方受欺骗。\n\n４、说妄语：用口说出来，有时不必用口亦可说妄语，打一个眼色，甚至默认、暗示，点头、手势，或使用手写出来也是妄语；那就是说用一种欺骗的行为来欺骗他人，都是妄语。\n\n５、听者领解：对方能领解所说的内容，如对方是聋人、痴人、不解语人、及向非人、畜生说大妄语，不犯重罪。\n\n大妄语与小妄语之分别：\n\n１、小妄语：就是一般上的骗话；还有骂架的粗话、挑拨离间、不三不四的话，既是骗话、恶口、两舌和绮语，都称为小妄语。\n\n２、大妄语：自己不是圣者，却跟人说自己是阿罗汉或是初果圣人；或者说自己是观音菩萨的化身，叫人来膜拜与供养，这都是大�],在戒邪淫的过程中，理解“无恶心”的概念意味着没有邪淫之心，即不会主动去犯邪淫戒，因此，邪淫也又开缘：若为怨家所逼，而不受乐者，无犯。,simple
什么是细心住的状态，以及它如何帮助身体自动调整并保持不疲劳？,[体弯曲惯了；有些人的身体不会歪斜，是因为他用精神去控制，把身体矫正，这是有心去造作（故意去做）的；呼吸又不大顺畅；我们得用数息观、不净观、慈悲观等等方法使心定下来。过了一个时候，身体会慢慢调好，呼吸也渐渐顺畅起来，心念也就越来越细幼。这种定称为粗心住。进入粗心住时，杂念减少。然而，杂念少并不等于定，只是不再胡思乱想罢了，但是心念还会在六根（眼、耳、鼻、舌、身、意）门头跑来跑去。\n\n（二）、细心住：\n\n这时候的心念已经很微细，身体不必用心力调正，自动平衡，已经习惯了，而且坐久也不疲倦，这就是所谓的持身法。所有有静坐经验的人，如果静坐半个钟头、一个钟头后身体就很疲倦，那就是还没进入粗心住，当进入粗心住，在进入细心住时，身体就自动的调正，而且坐久也不疲劳。如果继续坐禅，深入定的话，就能进入真正欲界的禅定－－欲界定。\n\n（三）、欲界定：\n\n平时我们要用心将妄念捉回来，进入欲界定后，不必加以控制，妄念也不会生起，而且心念自动平稳，不必用心力去调整它，此时心任运不动。进入这种定后，就能够整天坐禅。以上三种定还不能称为真正的禅定，只能称为普通的定。\n\n�],细心住的状态是心念已经很微细，身体不必用力调正，自动平衡，已经习惯了，而且坐久也不疲倦，这就是所谓的持身法。进入细心住时，身体就自动的调正，而且坐久也不劳。如果继续坐禅，深入定的话，就能进入真正欲界的禅定。,simple
什么是三解脱的真正体验和意义？,[何人都不可毁坏。假如一个人对佛、法、僧以及戒有绝对的信心，一点儿也不怀疑，那他就是断了疑结，意经典说他已经证悟到初果了。\n\n学佛者在修学的过程中，如果对佛、法、僧，以及戒律还会有怀疑，既是说他还没证悟到初果；如果他对佛、法、僧以及戒律绝对没怀疑时，那肯定可以证得初果了。证初果者又称为见道，既是见到解脱之道。他很清楚的确认八正道、四念处、三十七道品等是解脱之道，而且真正体验到此修行方法，才是真正解脱生死之道。我们没证悟初果的学佛者是凭著听闻佛法，分析、了解、推理、相信这些道理，但对于初果圣者来说，是真正的领悟和感觉到。比如有人从听讲中学习到一些游泳的技术，当他有机会跳进水中，就可体验到游泳只不过是如此罢了。虽是如此，然而他的游泳技术未必熟练。同样的，初果圣者虽然是见道，但他还有很多业习，故他需要继续修行。初果圣人由于断三结，绝对不会轮回到恶道去，并且最多天上人间来回七次生死，最后一生必证阿罗汉果。既是说，有些初果圣人的因缘好，烦恼薄，今生就可证悟阿罗汉果，未必一定要修行七世后才证得阿罗汉果。那些至第七次返回人间逢无佛法，居于家中也能证阿罗汉果，证果后必出],三解脱的真正体验和意义是指清楚地确认八正道、四念处、三十七道品等是解脱之道，并且真正体验到此修行方法，才是真正解脱生死之道。,simple
 在什么情况下，浓重的味道会引起鼻子堵塞和不适感？,[味道很浓重，我们一闻，鼻子就塞住，它抗议受不了－－苦，如果闻到好味道，鼻子就很舒畅，它受乐。\n\n４、舌根所生受－－舌头舔到味道，会生起苦、乐、舍三种感受。\n\n５、身根所生受－－身体接触到东西，也会生起苦、乐、舍三受。\n\n６、意根所生受－－意所知的是我们的法尘，也就是心念。我们的心里念：ｄｏ、ｒｅ　、ｍｉ、ｆａ、ｓｏ，或是念：一、二、三、四、五，这就是心念。我们的意识对这些法尘会有什么感受呢？我们念：一、二、三、四、五会辛苦吗？不会，如果从早念到晚，那‘意’就会受不了，觉得很辛苦；我们做不到的事情，想不通的道理，绞尽脑汁，还是想不透，那‘意’就很受苦。如果我们不让意根起心动念，它会觉得无聊，很苦，我们稍微让它动一动，它就乐了。这些都是从六根所得来的受，它发生在心、境接触的那一刹那，心、境接触一过后，它就不存在了。比如现在我用灯光照你的眼睛，它受刺激，既是受苦；如果把灯关了，那苦就没有了。\n\n我们还有思想上的忧授与喜受。忧受是担心、忧虑种种的事务；喜受就是对事务产生快乐的心情。忧受与喜受是一念一念的心，心心相续而产生，并非由六根而来。比如你想起一件快乐的事情，你内心很快乐，这就是喜�],在浓重的味道下，我们一闻，鼻子就塞住，它抗议受不了——苦，如果闻到好味道，鼻子就很舒畅，它受乐。,simple
在十二因缘中，“行”是如何导致未来果报产生的？,[��升起，而造成另一个因缘也生起，故佛经中常说：‘此有故彼有，此灭故彼灭。’这句话的意思是：有这样的东西生起，所以另外一样东西也跟著生起；有这样的东西消灭，另外一样东西也跟著消灭。\n\n一、十二因缘三世二重因果：\n\n第一重因果：过去因到现在果。\n\n过去因：无明是过去迷惑。\n\n行是过去造业。\n\n（1）、无明：我们迷惑无知，对善恶因果不明白，于佛、法、僧三宝不明白，也不知不觉，这就称为‘无明’。在十二因缘中的‘无明’是过去世烦恼的总称。\n\n（2）、行：因为无明使我们迷惑，发动心驱使身，口，意造业，此称为‘行’。此造作产生将来的果报，既是我们今世所受的善恶诸业的果报，所以‘行’就是业报，使我们投胎轮回生死。现在果：识、名色、六入、触、受是现在苦果。\n\n（3）、识：众生前生死时，名色（精神与物质）的活动散灭，而转成另一系列的精神活动。好像前世是人，死后转生为乌龟，那做人的精神活动就灭，转变成为乌龟的精神活动。因惑业导致，此‘识’重新入胎。此‘识’与前六识（眼、耳、鼻、舌、身、意）不同，在此处特别指入胎的‘识’。在南传佛教只说为‘识’，但大成佛教的唯识宗说是第八识－－阿赖耶识。我们死后，生前的名色散掉],在十二因缘中，‘行’是因为无明使我们迷惑，发动心驱使身、口、意造业，此称作‘行’。此造作产生将来报应，既是我们今世所受的善恶诸业的果报，所以‘行’就是业报，使我们投胎轮回生死。现在果：识、名色、六入、触、受是现在苦果。,simple
什么是静虑，以及它在禅定中的三种形式是什么？,[脱之道，这才称为禅定波罗蜜。\n\n禅定可分为三种：\n\n（1）、安住静虑：\n\n禅定古印度文称为禅那，意思既是静静的思维修行，也既是静虑。安住静虑既是安住禅定。我们有昏沉与掉举的烦恼业习，使我们的心不能敏锐的观察此世间，不容易发觉吾人心念的起落，所以要通过修禅定使他轻安，时时刻刻保持它，不生起昏沉、掉举的烦恼，这样我们才能敏锐的观察世间，不容易被迷惑。\n\n（2）、引发静虑：\n\n既是引发禅定，菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。\n\n（3）、办事静虑：\n\n行、住、坐、卧都在定中，称为办事静虑。此种静虑也称为那伽定，既是菩萨在一切时都在定中，有此定力的菩萨则可进入世间做各种利益众生的事业。\n\n这三种静虑，使我们远离昏沉的烦恼，能更敏锐的观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有人修禅定只是为了求各种神通，则不能称为禅定波罗蜜。\n\n（六）、智慧：\n\n智慧可分为世间智慧与出世间智慧。\n\n（1）、�],静虑可分为三种：（1）、安住静虑；（2）、引发静虑；（3）、办事静虑。,simple
什么是外施，为什么财施也被称为外施？,[、布施：\n\n（1）、财施：以钱财施舍给贫穷疾病者，或资助慈善团体。一切身外物称为外财，所以财施也称外施。\n\n（2）、无畏施：我们令众生不害怕，无恐怖，无灾害，称无畏施。菩萨行无畏施时往往连自己的生命也布施给众生，故无畏施也称为内财施。佛说持戒就是一种无畏施。\n\n（3）、法施：以世间的善法，以及佛陀所宣扬的宇宙人生之真理，劝导人们修善断恶，离苦得乐，乃至涅槃，称为法施。\n\n为什么布施能度到彼岸呢？因为我们有种种烦恼，所谓贪嗔痴三毒，在此三毒中影响最大的就是贪，要解决此大烦恼，就要从布施著手。因为众生认为千辛万苦得来的财物是属于自己的，舍不得给别人，那就是贪心在作怪，我们要由捐一毛钱，捐一块钱给众生，从中慢慢开始学习布施。吝啬与贪心的烦恼是每个人都具有的，为有行布施才能对治我们悭贪之心。凡是贪心烦恼重的人，是不舍得把自己的财物给予别人的，故佛陀教导众生要修行布施。但是以此方式布施，并不能完全称为行菩萨道。因为此种布施只是度个人内心的烦恼而已，而菩萨是观察到众生苦，愿令一切众生得乐，所以行布施；另外菩萨知道行布施是有因果、有果报的，他要行菩萨道，利益众生，�],外施是以钱财施舍给贫疾病患者，或资助慈善团体。一切身外物称为外财，所以财施也称外施。,simple
 什么是初禅的特征，以及它与喜乐的区别是什么？,[\n\n我们内心一念一念的想，虽然口没说，但是，是以语言的方式来想东西：印度人用印度话来想；华人用华语或其他方言来想。初禅有觉有观，是用语言来想东西；而二禅离开了语言的想像，发现没有语言的烦恼，他觉得很高兴，称为‘喜’。\n\n乐：身体宁静与内心平静，他感觉到很快乐。\n\n喜与乐的差别：身体感受乐后，内心起欢喜。\n\n一心：也就是‘定’。进入二禅（定）的人，定在二禅的定境中，保持内心的平静。\n\n（3）、三禅：\n\n当他继续修到三禅，心远离喜的躁动，就会进入更深的定，他会感受到另一种乐；初禅是舍离欲界而快乐，故称为‘离生喜乐’；二禅是默然之‘定生喜乐’，三禅之乐称为‘离喜妙乐’。此定中之乐是与外境无关，是由内心发出的快乐。由于三禅以上没有乐受，故经中常说世间之最乐是在三禅。\n\n当一个人进入三禅后，唯有意识在产生作用。三禅共有五支，即舍、念、智、乐、一心。\n\n舍：舍掉喜心。\n\n念：念念分明。\n\n智：有正知。‘正知’即是以真正的智慧观察事物的真相，又称为‘智’。四禅中的修行者，都能很正确的观察到这个世间，称为正知；而我们凡夫是靠过期的回忆来判断事情。\n\n乐：因舍离二禅的烦恼而感受快乐。因三禅以上没有乐受，�],初禅的特征是舍离欲界而快乐，故称为‘离生喜乐’；二禅是默然之‘定生喜乐’，三禅之乐称为‘离喜妙乐’。此定中之乐是与外境无关，是由内心发出的快乐。由于三禅以上没有乐受，故经中常说世间之最乐是在三禅。,simple
